Nome,Link Detalhes,Nome Petisco,Descricao,Endereco,Complemento
Rei do Peixe,https://comidadibuteco.com.br/buteco/rei-do-peixe/,Bolinhos Bodas de Prata,"Bolinho de tilápia recheado com tilápia e queijo, acompanhado com molho verde e geleia de pimenta.","Rua Ramalho Ortigão, 735 | Santa Branca, Belo Horizonte – MG",
Resenha da Naty,https://comidadibuteco.com.br/buteco/resenha-da-naty/,Trem Bão Demais Sô,"Bolinho de linguiça suína, recheado de muçarela e um toque de limão para finalizar.","Rua Gonçalves Ledo, 288 | Cachoeirinha, Belo Horizonte – MG",
Restaurante Jorge Americano,https://comidadibuteco.com.br/buteco/restaurante-jorge-americano/,Rabada do Jorge Americano,"Rabada ensopada, servido com batata bolinha. Acompanhada de farofa de torresmo e vinagrete de agrião.","Avenida Augusto de Lima, 744 | Centro, Belo Horizonte – MG",Loja 150 – Mercado Central
S.O.S PUB,https://comidadibuteco.com.br/buteco/s-o-s-pub/,Socorro do Mineiro,"Enroladinho de sururu com batata, enroladinho de lombo de porco com abacaxi cozido, enroladinho de feijoada e um miniempadão de frango e pernil com linguiça molhadinho. Todos acompanhados pelo molho especial da casa.","Rua Padre José Maurício, 1126 | Vista Alegre, Belo Horizonte – MG",
Santa Boemia,https://comidadibuteco.com.br/buteco/santa-boemia/,Sextou BB!,"Bolinhos de feijoada, recheados com calabresa e couve, acompanhados de torresminho pururuca, vinagrete da casa, laranja e uma dose de cachaça.","Rua Mármore, 534 | Santa Tereza, Belo Horizonte – MG",Loja 5
Santuário Retrô,https://comidadibuteco.com.br/buteco/santuario-retro/,Presentim Retrô,"Trouxinhas de lombo suculento, marinado por 12 horas no tempero da casa com especiarias, envolto em fatias de bacon e recheado com surpresas inspiradas nos ingredientes das edições históricas do Comida di Buteco.","Avenida Padre Vieira, 150 | Minas Brasil, Belo Horizonte – MG",
Seu Braz,https://comidadibuteco.com.br/buteco/seu-braz/,Contrafilé flambado na cachaça,"Contrafilé flambado na cachaça ao creme, acompanhado de mandioca na manteiga de garrafa com queijo gratinado e bacon crocante.","Avenida Portugal, 4325 | Itapoã, Belo Horizonte – MG",2º andar
Silvio’s Bar,https://comidadibuteco.com.br/buteco/silvios-bar/,Frangônia,"Coxinha da asa de frango empanada, acompanha batata rústica e molho parmesão e ervas.","Rua Begônia, 199 | Esplanada, Belo Horizonte – MG",
Sinhá Erozitha Bistrôteco,https://comidadibuteco.com.br/buteco/sinha-erozitha-bistroteco/,"Êêêê, lasqueira!!!",Panturrilha suína no seu molho com legumes grelhados.,"Rua Santo Amaro, 257 | Sagrada Família, Belo Horizonte – MG",
Sô Bar,https://comidadibuteco.com.br/buteco/so-bar/,Sô o Mio,"Maçã de peito com batatas cozidas, farofa de torresmo e espetinho de torresmo de barriga com pimenta agridoce.","Avenida Altamiro Avelino Soares, 426 | Castelo, Belo Horizonte – MG",Lojas 2 e 3
Spetim,https://comidadibuteco.com.br/buteco/spetim/,Tá na boca do povo,"Língua de boi, fatiada bem fininha, num encorpado molho de tomate e manjericão, acompanhada por um mineiríssimo angu de moinho d’água e mostarda passadinha na panela.","Rua Ilacir Pereira Lima, 518 | Silveira, Belo Horizonte – MG",
Tanganica Art Bar,https://comidadibuteco.com.br/buteco/tanganica-art-bar/,Vegano colorido,"Kibes de beterraba recheados com requeijão vegano, fuxicos de inhame com alho poró, pasteizinhos com recheio de chimeji preto e croquetinhos de abóbora vermelha recheados com ora-pro-nóbis.","Rua Padre Demerval Gomes, 380 | Coração Eucarístico, Belo Horizonte – MG",Entrada pela garagem
The Butcher,https://comidadibuteco.com.br/buteco/the-butcher/,Panela de Prata – 25 anos,"Versão do goulash, prato típico húngaro, mas com toque mineiro. Carne ensopada com fatias de pão.","Avenida Ressaca, 353 | Coração Eucarístico, Belo Horizonte – MG",
Toca do Ogro,https://comidadibuteco.com.br/buteco/toca-do-ogro/,Ripa de Prata,Picolé Mineiro – Costelinha suína com pele e osso. Acompanhada de purê de mandioca e crispy de couve.,"Rua Professor Nelson de Sena, 4 | Pampulha, Belo Horizonte – MG",
Toninho – Alto Forno,https://comidadibuteco.com.br/buteco/5706-revision-v1/,Joelho da Lili,"Joelho de porco ao molho da Lili, acompanhado de polenta com queijo frita e farofa de Neston.","Rua Miracema, 100 | Santo André, Belo Horizonte – MG",
Tropeiro do Lisboa,https://comidadibuteco.com.br/buteco/tropeiro-do-lisboa/,Caldeirão do Mignon,"Filé-mignon selado, acompanhado de batatas rústicas ao molho da casa.","Avenida Leontino Francisco Alves, 506 | Serra Verde (Venda Nova), Belo Horizonte – MG",
Us Motoca,https://comidadibuteco.com.br/buteco/3187-revision-v1/,Bodas de Prata,"Polpetas de carne recheadas com queijo, servido sobre aligot de batata e molho de tomates rústico, gratinado e guarnecido de crispy de jiló e picles de cebola-roxa.","Rua Blenda, 91 | Camargos, Belo Horizonte – MG",
Xambar,https://comidadibuteco.com.br/buteco/xambar/,Mineirin Oriental,"Miolo de acém assado na pressão, acompanhado de mandioca cozida na manteiga e farofa de banana da terra","Avenida Augusto de Lima, 233 | Centro, Belo Horizonte – MG","Edifício Maleta, 2º Andar, Lojas 7 e 10"
Xico da Kafua,https://comidadibuteco.com.br/buteco/xico-da-kafua/,Pé na areia,"Mão suína, acompanhada de farofa crocante de soja tostada com farinha de biju e torradas com azeite.","Avenida Itaú, 1195 – Loja A | João Pinheiro, Belo Horizonte – MG",
Xico do Churrasco,https://comidadibuteco.com.br/buteco/xico-do-churrasco/,Xico Balaio,Asinhas de frango com provolone com tempero.,"Av Altamiro avelino Soares, 920 | Castelo, Belo Horizonte – MG",
Zé Bolacha,https://comidadibuteco.com.br/buteco/ze-bolacha/,Rabicó,"Bolinho de costelinha desfiada com requeijão e muçarela, empanada no panko com molho de laranja e mel.","Rua das Melancias, 35 | Vila Cloris, Belo Horizonte – MG",
Zoo Bar,https://comidadibuteco.com.br/buteco/zoo-bar/,Canjiquinha da Vovó,"Canjiquinha à moda da vovó, acompanhada de costelinha de porco e vinagrete de pimenta.","Avenida Otacílio Negrão de Lima, 7844 | Pampulha, Belo Horizonte – MG",
